,東京都,×,その他小売［生鮮魚介卸売］（営業）,・新市場移転において、我々仲買に対する都の扱いは酷いものがある。市場を利用する客に対する情報開示や手続き等の説明が公的に行われていないのは何故か。全てにおいて東京オリンピックのことばかりで、この仕事で生活している人々のことは無視されている。３か月後は悪くなるどころか、終わりかも知れない（東京都）。,,,
"企業
動向
関連

(南関東)",東京都,◎,出版・印刷・同関連産業（経営者）,・当社特有の繁忙期に入るため、良くなる（東京都）。,,,
,,◎,その他サービス業［ソフト開発］（従業員）,・外出先の様子を見ていても活気があり、混んでいる。人の動きが活発になっている。,,,
,東京都,○,食料品製造業（経営者）,・天候次第であるが、落ち着いてくると状況は良くなる（東京都）。,,,
,,○,プラスチック製品製造業（経営者）,・インバウンドの相乗効果もあって化粧品容器の新企画が当たり、設備投資に踏み切った。,,,
,,○,金属製品製造業（経営者）,・新規取引先の仕事が決まり始めているが、職人不足で納期に間に合わないのが大変である。新しい仕事に早く慣れて、間に合うようにしたいが、それには時間が掛かる。,,,
,東京都,○,その他製造業［化粧品］（営業担当）,・前月、今月も猛暑、天候不良の影響で外出を控える消費者が増えている。その結果、理美容室の来客数の減少が多くみられ、売上不振となっている（東京都）。,,,
,,○,建設業（従業員）,・受注が多くなってきている。,,,
,,○,輸送業（経営者）,・９～３月までは繁忙期のため、やや良くなる（東京都）。,,,
,,○,輸送業（経理担当）,・運賃改定を早急に解決するのは難しいが、合意できれば収益増加につながる可能性がある。,,,
,,○,金融業（役員）,・年末に向けて、現在懸念されている国際情勢が好転するとの期待が高いことから、株価上昇、消費向上により、景気は上向いていく。,,,
,,○,その他サービス業［情報サービス］（従業員）,・2018年度に入り継続的な受注が減少し、景気好転の兆しは感じられない。下期に向けた提案は順調に進んでいるため、３か月後ぐらいには好転すると想定している。,,,
,,□,食料品製造業（経営者）,・秋の収穫時期の原材料の値上げが心配である。,,,
,東京都,□,出版・印刷・同関連産業（営業担当）,・個人の来店客は平たんなところが多く、先が読めないのが正直なところである。法人は通信販売も受けているが、今月は印鑑のリフォームで今まで使っていた会社の社名変更や、新規設立の注文が５本ある。いつもよりはやや多いため、法人は上向きなものの、個人は少し落ちるか横ばいで、どちらともいえず、変わらない（東京都）。,,,
,,□,化学工業（総務担当）,・消費税再増税への心理的影響による個人消費の停滞を危惧している。,,,
,,□,プラスチック製品製造業（経営者）,・今月は受注量が増えているが、３か月後に更に良くなることは考えられないので、変わらない。,,,
,,□,金属製品製造業（経営者）,・業種によるばらつきはありそうだが、受注量は確保できそうである。,,,
,東京都,□,電気機械器具製造業（経営者）,・中小企業の悲哀なのか、良い人材が集まらず、発展のチャンスをものにできないでいる（東京都）。,,,
,,□,その他製造業［鞄］（経営者）,・特別な変化の情報はなく、このまま続いていく。,,,
,,□,建設業（経営者）,・この地域はまだ良いと思うが、人口減少により、これからますます建物、宅地が売れなくなっていく。,,,
