,,□,旅行代理店（経営者）,・米問題では備蓄米を放出するという話になっており、一時的には良いことだが、将来的にはどうなのか分からない。今現在皆が大変な思いをしているので、少しでも楽になればと考えている。,,,
,,□,旅行代理店（従業員）,・物価上昇は仕方ないと受け入れて旅行費用の上積みが可能な団体と、不可能な団体が出てくると想定している。,,,
,東京都,□,旅行代理店（営業担当）,・一般的なことになるが、全体として、売上等の増加に結び付くような要因が見当たらない（東京都）。,,,
,東京都,□,旅行代理店（営業担当）,・米騒動、物価高が収まらないと、レジャーにお金を回せない（東京都）。,,,
,,□,タクシー運転手,・物価の上昇が続いており、特に今は米を始めとして食料品の値上がりが一向に収まる気配がない。これが落ち着かないと、我々の商売はなかなか上向きにならないので心配である。もう少し様子をみなければいけない。,,,
,,□,タクシー（団体役員）,・良くなる要素が考えられない。,,,
,,□,通信会社（営業担当）,・低価格志向がより強まるとみられるため、今後数か月間もサービスの見直しや解約が増加していく。,,,
,東京都,□,通信会社（局長）,・世界の通信事業環境が新たな局面にはなっておらず、しばらくは現状のトレンドが続くと予想される（東京都）。,,,
,,□,通信会社（営業担当）,・良くなるような材料がない。,,,
,東京都,□,通信会社（営業担当）,・仕入価格と人件費の高騰が止まらない限り、変わらない（東京都）。,,,
,,□,通信会社（経理担当）,・原油相場は下がっているのに、なぜかガソリン代は下がらない。,,,
,東京都,□,通信会社（管理担当）,・自社の通信インフラの光ファイバー化が完了し、５月から提供が可能となったが、競合他社に対して劣後であった状況がようやく解消されたにすぎず、厳しい状況は変わらない（東京都）。,,,
,東京都,□,通信会社（営業担当）,・前年並みのペースのため、変わらない（東京都）。,,,
,東京都,□,観光名所（職員）,・前年同期と変わらない水準のため、今年も同じと考えている（東京都）。,,,
,,□,競輪場（職員）,・変動する要素が特にない。,,,
,東京都,□,その他レジャー施設［ボウリング場］（支配人）,・米騒動次第で趣味等への出費が変化するとみている（東京都）。,,,
,東京都,□,その他レジャー施設［ボウリング場］（従業員）,・物価高などマイナス面も多そうだが、現状は影響が出ていないようにみえる（東京都）。,,,
,東京都,□,その他レジャー施設［映画］（営業担当）,・米国の関税政策の影響が若干和らぎ、株価も戻しているためである（東京都）。,,,
,,□,その他サービス［学習塾］（経営者）,・生徒の家庭から、講習費用など塾に係る費用を抑えたいという意向が強くある。,,,
,東京都,□,その他サービス［フィットネスクラブ］（エリア統括）,・米価を始めとした物価上昇や所得など、景気が上向く要素がない（東京都）。,,,
,東京都,□,設計事務所（職員）,・世界的な社会背景、止まらない物価高など先行きが見通せない（東京都）。,,,
,,□,住宅販売会社（従業員）,・住宅ローン金利が据置きとなり、それほど急激には金利は上がらないだろうという雰囲気でいる客が多い。子育てグリーン住宅支援事業の後押しもあり、マイホーム購入希望の客が増えているが、現実的に考えて駅近物件よりも市街化調整区域の安価な土地の購入に踏み切る客が増えている。,,,
,,□,住宅販売会社（従業員）,・客の動きに変化がない。,,,
